Return_ID,Order_ID,Return_Date,Return_Reason
R00001,O002545,2024-11-07,Size/Fit Issue
R00002,O007165,2024-11-19,Late Delivery
R00003,O002749,2024-12-19,Size/Fit Issue
R00004,O004550,2024-07-05,Changed Mind
R00005,O003709,2025-09-25,Size/Fit Issue
R00006,O002166,2026-01-26,Damaged Product
R00007,O002428,2025-08-16,Late Delivery
R00008,O000679,2024-06-07,Changed Mind
R00009,O002324,2026-02-01,damaged product
R00010,O004729,2025-05-11,Size/Fit Issue
R00011,O001468,2024-12-18,Damaged Product
R00012,O008125,2025-03-02,Wrong Product
R00013,O000762,2024-11-02,Damaged Product
R00014,O002283,2024-09-04,Size/Fit Issue
R00015,O003921,2024-09-05,Changed Mind
R00016,O006320,2025-07-23, Damaged Product 
R00017,O005091,2026-02-06,Late Delivery
R00018,O004866,2025-06-04,Product Not as Expected
R00019,O007315,2025-05-08,Wrong Product
R00020,O006781,2024-12-03,Size/Fit Issue
R00021,O004322,2025-05-12,Size/Fit Issue
R00022,O000034,2026-01-06,Changed Mind
R00023,O005466,2025-02-25,Changed Mind
R00024,O008343,2025-12-24,Changed Mind
R00025,O005470,2026-01-13,Wrong Product
R00026,O001128,,Product Not as Expected
R00027,O003623,2026-02-05,Size/Fit Issue
R00028,O006442,2024-04-19,Late Delivery
R00029,O005902,2024-06-11,Changed Mind
R00030,O001403,2025-08-24,Damaged Product
R00031,O004480,2026-04-12,Late Delivery
R00032,O000853,2026-02-17,Product Not as Expected
R00033,O001393,2026-03-13,Defective Product
R00034,O003569,2025-04-09,Late Delivery
R00035,O001304,2025-03-02,Damaged Product
R00036,O002966,2026-03-14,Product Not as Expected
R00037,O000018,2025-04-10,Wrong Product
R00038,O005521,2025-11-14,Changed Mind
R00039,O002031,2025-06-23,Changed Mind
R00040,O007197,2024-11-29,Size/Fit Issue
R00041,O007172,2024-08-22,Defective Product
R00042,O008142,2025-11-02,Defective Product
R00043,O006031,2025-12-03,Wrong Product
R00044,O002397,2024-05-14,Product Not as Expected
R00045,O001786,2025-11-17,Changed Mind
R00046,O007492,2025-03-18,Defective Product
R00047,O003092,2025-08-08,Size/Fit Issue
R00048,O001794,2025-03-17,Wrong Product
R00049,O000107,2024-05-27,Damaged Product
R00050,O006047,2025-08-07,Late Delivery
R00051,O007272,2025-06-08,Product Not as Expected
R00052,O007878,2024-09-05,Wrong Product
R00053,O008176,2026-01-14,Late Delivery
R00054,O006891,2025-02-26,Defective Product
R00055,O004612,2024-06-17,Wrong Product
R00056,O000982,2026-04-12,Damaged Product
R00057,O005759,2026-03-20,Damaged Product
R00058,O000234,2025-02-21,Wrong Product
R00059,O002904,2025-11-15,Product Not as Expected
R00060,O001310,2025-09-23,Defective Product
R00061,O002117,2026-03-16,Late Delivery
R00062,O001636,2026-02-15,Wrong Product
R00063,O001507,2025-06-30,Product Not as Expected
R00064,O001914,2024-08-15,Late Delivery
R00065,O001818,2025-10-29,Product Not as Expected
R00066,O005600,2026-01-29,Changed Mind
R00067,O000947,2024-10-18,Changed Mind
R00068,O005392,2024-05-20,Changed Mind
R00069,O008091,2026-02-28,Changed Mind
R00070,O007980,2025-04-16,Defective Product
R00071,O004663,2024-08-16,Product Not as Expected
R00072,O003334,2025-01-08,Defective Product
R00073,O000076,2025-07-25,Changed Mind
R00074,O006561,2025-10-28,Changed Mind
R00075,O005143,2024-06-11,Wrong Product
R00076,O000496,2025-03-16,Size/Fit Issue
R00077,O000061,2025-01-11,Defective Product
R00078,O006998,2026-03-01,Changed Mind
R00079,O004218,2024-12-09,Product Not as Expected
R00080,O003936,2024-12-16,Defective Product
R00081,O003404,2025-04-06,Wrong Product
R00082,O006645,2024-08-24,Late Delivery
R00083,O004804,2025-03-19,Late Delivery
R00084,O000378,2025-01-17,Damaged Product
R00085,O005119,2025-05-18,Product Not as Expected
R00086,O007243,2025-12-22,Damaged Product
R00087,O008431,2024-08-25,Wrong Product
R00088,O000103,2026-01-05,Late Delivery
R00089,O002772,2026-01-22,Wrong Product
R00090,O007633,2024-09-10,Size/Fit Issue
R00091,O007832,2024-07-20,Changed Mind
R00092,O007431,2025-06-30,Wrong Product
R00093,O004876,2025-10-01,Size/Fit Issue
R00094,O003889,2024-09-30,Late Delivery
R00095,O004190,2024-08-23,Damaged Product
R00096,O006477,2025-08-14,Defective Product
R00097,O004962,2025-08-31,Size/Fit Issue
R00098,O004702,2024-06-20,Defective Product
R00099,O007392,2025-01-24,Wrong Product
R00100,O007552,2024-07-15,Defective Product
R00101,O006936,2024-11-22,Defective Product
R00102,O003986,2024-09-05,Size/Fit Issue
R00103,O004532,2024-07-23,Late Delivery
R00104,O003031,2026-02-05,Damaged Product
R00105,O007184,2024-11-19,Wrong Product
R00106,O001018,2025-03-15,Size/Fit Issue
R00107,O002396,2025-08-28,Product Not as Expected
R00108,O004964,2025-09-26,Changed Mind
R00109,O000839,2025-05-06,Defective Product
R00110,O001779,2025-08-03,Late Delivery
R00111,O005130,2024-06-24,Damaged Product
R00112,O000024,2025-03-17,Size/Fit Issue
R00113,O004775,2026-02-05,Wrong Product
R00114,O002434,2025-09-16,Late Delivery
R00115,O002738,2026-03-31,Product Not as Expected
R00116,O005989,2024-11-22,Wrong Product
R00117,O008287,2025-04-02,Defective Product
R00118,O004007,2026-01-27,Product Not as Expected
R00119,O001948,2025-04-25,Product Not as Expected
R00120,O000207,2025-11-02,Late Delivery
R00121,O003578,2024-07-30,Product Not as Expected
R00122,O001359,2025-12-11,Damaged Product
R00123,O007970,2024-11-15,Product Not as Expected
R00124,O004349,2025-06-08,Wrong Product
R00125,O007753,2025-12-01,Defective Product
R00126,O003122,2025-09-02,Defective Product
R00127,O004384,2025-11-19,Defective Product
R00128,O007575,2025-02-07,Product Not as Expected
R00129,O000778,2025-03-09,Product Not as Expected
R00130,O004171,2025-10-19,Size/Fit Issue
R00131,O005549,2025-06-01,Changed Mind
R00132,O001996,2024-05-13,Size/Fit Issue
R00133,O002636,2024-05-15,Wrong Product
R00134,O000226,2024-06-29,Product Not as Expected
R00135,O003499,2025-12-01,Size/Fit Issue
R00136,O004226,2026-04-13,Size/Fit Issue
R00137,O007079,2024-05-14,Changed Mind
R00138,O002221,2024-05-08,Defective Product
R00139,O002516,2024-04-12,Damaged Product
R00140,O004616,2026-01-30,Product Not as Expected
R00141,O003435,2026-01-08,Size/Fit Issue
R00142,O006232,2025-12-18,Damaged Product
R00143,O002485,2024-09-09,Defective Product
R00144,O007617,2024-05-06,Wrong Product
R00145,O005015,2024-12-31,Product Not as Expected
R00146,O000958,2025-09-04,Product Not as Expected
R00147,O004604,2025-12-11,Product Not as Expected
R00148,O002092,2025-12-15,Size/Fit Issue
R00149,O006314,2025-06-02,Changed Mind
R00150,O007090,2025-03-11,Changed Mind
R00151,O007506,2025-02-07,Changed Mind
R00152,O002916,2025-12-21,Product Not as Expected
R00153,O003769,2025-08-14,Late Delivery
R00154,O007507,2025-03-07,Wrong Product
R00155,O007324,2024-09-26,Damaged Product
R00156,O007204,2025-02-07,Wrong Product
R00157,O004511,2025-08-27,Damaged Product
R00158,O004839,2024-12-17,Defective Product
R00159,O006613,2024-10-11,Product Not as Expected
R00160,O001073,2026-04-05,Defective Product
R00161,O005451,2024-12-13,Wrong Product
R00162,O005412,2025-02-13,Changed Mind
R00163,O005861,2025-02-25,Defective Product
R00164,O000210,2025-12-30,Size/Fit Issue
R00165,O003801,2025-07-09,Size/Fit Issue
R00166,O004845,2025-09-02,Size/Fit Issue
R00167,O008096,2025-02-25,Damaged Product
R00168,O002429,2024-05-01,Size/Fit Issue
R00169,O007789,2025-08-12,Changed Mind
R00170,O006878,2024-06-10,Changed Mind
R00171,O004795,2024-12-31,Wrong Product
R00172,O003482,2025-07-20,Late Delivery
R00173,O002803,2024-09-10,Defective Product
R00174,O008028,2024-04-27,Product Not as Expected
R00175,O004694,2024-07-10,Wrong Product
R00176,O008441,2025-01-24,Damaged Product
R00177,O001299,2025-06-01,Late Delivery
R00178,O003722,2025-04-19,Damaged Product
R00179,O001157,2025-01-17,Damaged Product
R00180,O005630,2026-02-14,Damaged Product
R00181,O007329,2025-12-06,Changed Mind
R00182,O000417,2024-09-28,Changed Mind
R00183,O000561,2025-12-17,Defective Product
R00184,O002235,2025-04-20,Late Delivery
R00185,O004882,2024-11-02,Size/Fit Issue
R00186,O008355,2024-08-02,Changed Mind
R00187,O002395,2025-06-14,Changed Mind
R00188,O001993,2026-01-30,Wrong Product
R00189,O002026,2025-03-15,Wrong Product
R00190,O003882,2025-04-18,Size/Fit Issue
R00191,O006456,2024-06-02,Damaged Product
R00192,O000277,2024-10-01,Size/Fit Issue
R00193,O002016,2026-01-31,Damaged Product
R00194,O001195,2025-06-06,Size/Fit Issue
R00195,O007105,2024-10-16,Product Not as Expected
R00196,O004615,2026-01-13,Size/Fit Issue
R00197,O003409,2025-08-17,Changed Mind
R00198,O002457,2024-07-01,Defective Product
R00199,O008248,2025-03-18,Product Not as Expected
R00200,O003805,2024-07-08,Defective Product
R00201,O007547,2025-02-10,Defective Product
R00202,O008463,2025-09-15,Late Delivery
R00203,O006247,2024-07-18,Changed Mind
R00204,O006323,2025-10-10,Size/Fit Issue
R00205,O006825,2024-04-19,Size/Fit Issue
R00206,O002557,2025-04-16,Late Delivery
R00207,O003567,2024-08-25,Defective Product
R00208,O000144,2025-06-12,Size/Fit Issue
R00209,O004858,2024-06-10,Damaged Product
R00210,O006261,2026-02-07,Damaged Product
R00211,O001730,2025-08-14,Wrong Product
R00212,O001026,2025-11-02,Size/Fit Issue
R00213,O008326,2025-06-12,Defective Product
R00214,O006591,2026-02-19,Product Not as Expected
R00215,O008338,2025-01-10,Late Delivery
R00216,O002631,2025-10-10,Damaged Product
R00217,O005696,2025-11-02,Defective Product
R00218,O002828,2026-02-23,Size/Fit Issue
R00219,O002001,2025-04-01,Late Delivery
R00220,O007934,2025-04-01,Size/Fit Issue
R00221,O003673,2024-09-23,Late Delivery
R00222,O000759,2024-12-15,Changed Mind
R00223,O001139,2024-11-08,Changed Mind
R00224,O006295,2024-07-03,Defective Product
R00225,O003443,2026-01-27,Damaged Product
R00226,O002833,2024-05-15,Changed Mind
R00227,O002604,2025-05-25,Changed Mind
R00228,O004556,2025-06-05,Late Delivery
R00229,O006445,2025-07-03,Size/Fit Issue
R00230,O004937,2025-01-18,Damaged Product
R00231,O000669,2024-06-10,Defective Product
R00232,O003455,2025-05-08,Wrong Product
R00233,O006150,2024-06-22,Changed Mind
R00234,O004010,2025-12-10,Changed Mind
R00235,O005364,2024-08-11,Damaged Product
R00236,O006629,2025-10-13,Changed Mind
R00237,O004310,2024-09-21,Late Delivery
R00238,O008236,2026-01-15,Defective Product
R00239,O006952,2025-08-25,Changed Mind
R00240,O002537,2025-06-12,Late Delivery
R00241,O000323,2025-02-22,Damaged Product
R00242,O006353,2024-10-25,Damaged Product
R00243,O003488,2026-02-12,Damaged Product
R00244,O001911,2025-01-07,Defective Product
R00245,O004961,2024-05-12,Damaged Product
R00246,O001545,2026-01-25,Damaged Product
R00247,O002315,2024-08-14,Product Not as Expected
R00248,O007573,2025-01-18,Defective Product
R00249,O001254,2024-09-30,Product Not as Expected
R00250,O004585,2026-02-28,Late Delivery
R00251,O006074,2025-06-11,Damaged Product
R00252,O007514,2025-07-15,Damaged Product
R00253,O005973,2025-03-20,Wrong Product
R00254,O007677,2024-09-06,Changed Mind
R00255,O002328,2024-07-09,Late Delivery
R00256,O005485,2025-10-30,Damaged Product
R00257,O006732,2024-04-14,Changed Mind
R00258,O003329,2025-02-07,Size/Fit Issue
R00259,O008359,2025-12-05,Defective Product
R00260,O003102,2026-04-02,Wrong Product
R00261,O004696,2026-02-17,Product Not as Expected
R00262,O004187,2025-11-10,Changed Mind
R00263,O007812,2024-09-15,Product Not as Expected
R00264,O007121,2024-08-19,Defective Product
R00265,O008480,2025-10-06,Damaged Product
R00266,O007933,2025-03-30,Size/Fit Issue
